pheno_id	full_code	short_code	description	unique_description	type	n	n_cases	n_controls	source
0	100001_raw-Food_weight	100001_raw	Food weight	Food weight	continuous_raw	51453			UK Biobank
1	100002_raw-Energy	100002_raw	Energy	Energy	continuous_raw	51453			UK Biobank
2	100003_raw-Protein	100003_raw	Protein	Protein	continuous_raw	51453			UK Biobank
3	100004_raw-Fat	100004_raw	Fat	Fat	continuous_raw	51453			UK Biobank
4	100005_raw-Carbohydrate	100005_raw	Carbohydrate	Carbohydrate	continuous_raw	51453			UK Biobank
5	100006_raw-Saturated_fat	100006_raw	Saturated fat	Saturated fat	continuous_raw	51453			UK Biobank
6	100007_raw-Polyunsaturated_fat	100007_raw	Polyunsaturated fat	Polyunsaturated fat	continuous_raw	51453			UK Biobank
7	100008_raw-Total_sugars	100008_raw	Total sugars	Total sugars	continuous_raw	51453			UK Biobank
8	100009_raw-Englyst_dietary_fibre	100009_raw	Englyst dietary fibre	Englyst dietary fibre	continuous_raw	51453			UK Biobank
9	100010-Portion_size	100010	Portion size	Portion size	ordinal	51427			UK Biobank
10	100011_raw-Iron	100011_raw	Iron	Iron	continuous_raw	51453			UK Biobank
11	100012_raw-Vitamin_B6	100012_raw	Vitamin B6	Vitamin B6	continuous_raw	51453			UK Biobank
12	100013_raw-Vitamin_B12	100013_raw	Vitamin B12	Vitamin B12	continuous_raw	51453			UK Biobank
13	100014_raw-Folate	100014_raw	Folate	Folate	continuous_raw	51453			UK Biobank
14	100015_raw-Vitamin_C	100015_raw	Vitamin C	Vitamin C	continuous_raw	51453			UK Biobank
15	100016_raw-Potassium	100016_raw	Potassium	Potassium	continuous_raw	51453			UK Biobank
16	100017_raw-Magnesium	100017_raw	Magnesium	Magnesium	continuous_raw	51453			UK Biobank
17	100018_raw-Retinol	100018_raw	Retinol	Retinol	continuous_raw	49890			UK Biobank
18	100019_raw-Carotene	100019_raw	Carotene	Carotene	continuous_raw	51453			UK Biobank
19	100021_raw-Vitamin_D	100021_raw	Vitamin D	Vitamin D	continuous_raw	51453			UK Biobank
20	100022-Alcohol	100022	Alcohol	Alcohol	ordinal	51453			UK Biobank
21	100023_raw-Starch	100023_raw	Starch	Starch	continuous_raw	51453			UK Biobank
22	100024_raw-Calcium	100024_raw	Calcium	Calcium	continuous_raw	51453			UK Biobank
23	100025_raw-Vitamin_E	100025_raw	Vitamin E	Vitamin E	continuous_raw	51453			UK Biobank
24	1001-Duration_of_strenuous_sports	1001	Duration of strenuous sports	Duration of strenuous sports	ordinal	36919			UK Biobank
25	100150-Drinking_water_intake	100150	Drinking water intake	Drinking water intake	ordinal	51427			UK Biobank
